"filename", "language", "JSON", "JavaScript", "Markdown", "SQL", "comment", "blank", "total"
"d:\vscode_project\Performace-MM\back-end\README.md", "Markdown", 0, 0, 9, 0, 0, 2, 11
"d:\vscode_project\Performace-MM\back-end\config\api.js", "JavaScript", 0, 100, 0, 0, 8, 8, 116
"d:\vscode_project\Performace-MM\back-end\config\db.js", "JavaScript", 0, 8, 0, 0, 2, 0, 10
"d:\vscode_project\Performace-MM\back-end\controls\achievementsEva.js", "JavaScript", 0, 101, 0, 0, 6, 3, 110
"d:\vscode_project\Performace-MM\back-end\controls\common.js", "JavaScript", 0, 61, 0, 0, 4, 2, 67
"d:\vscode_project\Performace-MM\back-end\controls\conclusion.js", "JavaScript", 0, 222, 0, 0, 10, 11, 243
"d:\vscode_project\Performace-MM\back-end\controls\mutualRate.js", "JavaScript", 0, 244, 0, 0, 10, 6, 260
"d:\vscode_project\Performace-MM\back-end\controls\performance.js", "JavaScript", 0, 1005, 0, 0, 39, 21, 1065
"d:\vscode_project\Performace-MM\back-end\controls\user.js", "JavaScript", 0, 340, 0, 0, 29, 17, 386
"d:\vscode_project\Performace-MM\back-end\controls\workStation.js", "JavaScript", 0, 1048, 0, 0, 86, 25, 1159
"d:\vscode_project\Performace-MM\back-end\index.js", "JavaScript", 0, 10, 0, 0, 3, 3, 16
"d:\vscode_project\Performace-MM\back-end\package-lock.json", "JSON", 447, 0, 0, 0, 0, 1, 448
"d:\vscode_project\Performace-MM\back-end\package.json", "JSON", 19, 0, 0, 0, 0, 1, 20
"d:\vscode_project\Performace-MM\back-end\routes\router.js", "JavaScript", 0, 108, 0, 0, 8, 8, 124
"d:\vscode_project\Performace-MM\back-end\sql\demo_weekly.sql", "SQL", 0, 0, 0, 73, 43, 21, 137
"d:\vscode_project\Performace-MM\back-end\sql\http.js", "JavaScript", 0, 57, 0, 0, 3, 3, 63
"d:\vscode_project\Performace-MM\back-end\sql\sqlMap.js", "JavaScript", 0, 283, 0, 0, 22, 0, 305
"d:\vscode_project\Performace-MM\back-end\utils\common.js", "JavaScript", 0, 17, 0, 0, 0, 2, 19
"d:\vscode_project\Performace-MM\back-end\utils\time.js", "JavaScript", 0, 22, 0, 0, 4, 2, 28
"Total", "-", 466, 3626, 9, 73, 277, 136, 4587