"filename", "language", "Markdown", "JavaScript", "Vue", "HTML", "SCSS", "CSS", "XML", "YAML", "JSON", "JSON with Comments", "Log", "comment", "blank", "total"
"d:\vscode_project\Performace-MM\front-end\.eslintrc.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\vscode_project\Performace-MM\front-end\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"d:\vscode_project\Performace-MM\front-end\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\vscode_project\Performace-MM\front-end\debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\vscode_project\Performace-MM\front-end\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 9
"d:\vscode_project\Performace-MM\front-end\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 13009, 0, 0, 0, 1, 13010
"d:\vscode_project\Performace-MM\front-end\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 43
"d:\vscode_project\Performace-MM\front-end\postcss.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\vscode_project\Performace-MM\front-end\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"d:\vscode_project\Performace-MM\front-end\public\tinymce\langs\zh_CN.js", "JavaScript", 0, 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 419
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\default\content.css", "CSS", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 1, 50
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\default\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\document\content.css", "CSS", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 1, 54
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\document\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\writer\content.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 1, 51
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\writer\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.css", "CSS", 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 16, 1, 615
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.inline.css", "CSS", 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 16, 1, 623
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 1, 30
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\skin.css", "CSS", 0, 0, 0, 0, 0, 2607, 0, 0, 0, 0, 0, 18, 1, 2626
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\skin.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 642, 0, 0, 0, 0, 0, 30, 1, 673
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.css", "CSS", 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 16, 1, 615
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.inline.css", "CSS", 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 16, 1, 623
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 1, 30
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\skin.css", "CSS", 0, 0, 0, 0, 0, 2607, 0, 0, 0, 0, 0, 18, 1, 2626
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\skin.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 642, 0, 0, 0, 0, 0, 30, 1, 673
"d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\App.vue", "Vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\vscode_project\Performace-MM\front-end\src\assets\js\common.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 141
"d:\vscode_project\Performace-MM\front-end\src\assets\styles\global_color.scss", "SCSS", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\vscode_project\Performace-MM\front-end\src\assets\styles\global_layout.scss", "SCSS", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 28, 26, 207
"d:\vscode_project\Performace-MM\front-end\src\assets\styles\globals.scss", "SCSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\vscode_project\Performace-MM\front-end\src\assets\styles\reset.css", "CSS", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 2, 0, 44
"d:\vscode_project\Performace-MM\front-end\src\components\Chart\MixChart.vue", "Vue", 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 271
"d:\vscode_project\Performace-MM\front-end\src\components\Chart\mixins\resize.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 57
"d:\vscode_project\Performace-MM\front-end\src\components\Cop\Cop.vue", "Vue", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 115
"d:\vscode_project\Performace-MM\front-end\src\components\Cop\CopReview.vue", "Vue", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 177
"d:\vscode_project\Performace-MM\front-end\src\components\Cop\CopTable.vue", "Vue", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 88
"d:\vscode_project\Performace-MM\front-end\src\components\Cop\CopTableEdit.vue", "Vue", 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 306
"d:\vscode_project\Performace-MM\front-end\src\components\Cop\workTimeAssign.vue", "Vue", 0, 0, 403, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 417
"d:\vscode_project\Performace-MM\front-end\src\components\Dashboard\LineChart.vue", "Vue", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 134
"d:\vscode_project\Performace-MM\front-end\src\components\Dashboard\PanelGroup.vue", "Vue", 0, 0, 660, 0, 0, 0, 0, 0, 0, 0, 0, 21, 38, 719
"d:\vscode_project\Performace-MM\front-end\src\components\Dashboard\mixins\resize.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 56
"d:\vscode_project\Performace-MM\front-end\src\components\PasswordEdit\PasswordEdit.vue", "Vue", 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 223
"d:\vscode_project\Performace-MM\front-end\src\components\PlanProcessTable\JJProjectPlanProcess.vue", "Vue", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 206
"d:\vscode_project\Performace-MM\front-end\src\components\PlanProcessTable\XXProjectPlanProcess.vue", "Vue", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\vscode_project\Performace-MM\front-end\src\components\Sticky\index.vue", "Vue", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 92
"d:\vscode_project\Performace-MM\front-end\src\components\SvgIcon\index.vue", "Vue", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 63
"d:\vscode_project\Performace-MM\front-end\src\components\common\workTimeTable.vue", "Vue", 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 198
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\editor.vue", "Vue", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 97
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\default\content.css", "CSS", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 1, 50
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\default\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\document\content.css", "CSS", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 1, 54
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\document\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\writer\content.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 1, 51
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\writer\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.css", "CSS", 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 16, 1, 615
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.inline.css", "CSS", 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 16, 1, 623
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 1, 30
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.css", "CSS", 0, 0, 0, 0, 0, 2607, 0, 0, 0, 0, 0, 18, 1, 2626
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 642, 0, 0, 0, 0, 0, 30, 1, 673
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.css", "CSS", 0, 0, 0, 0, 0, 598, 0, 0, 0, 0, 0, 16, 1, 615
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.inline.css", "CSS", 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 16, 1, 623
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.inline.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.mobile.css", "CSS", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 1, 30
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.css", "CSS", 0, 0, 0, 0, 0, 2607, 0, 0, 0, 0, 0, 18, 1, 2626
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.mobile.css", "CSS", 0, 0, 0, 0, 0, 642, 0, 0, 0, 0, 0, 30, 1, 673
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.mobile.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 9
"d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\zh_CN.js", "JavaScript", 0, 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 419
"d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectOverview.vue", "Vue", 0, 0, 509, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 528
"d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectOverviewManager.vue", "Vue", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 198
"d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectProcessDetail.vue", "Vue", 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 317
"d:\vscode_project\Performace-MM\front-end\src\config\http.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 110
"d:\vscode_project\Performace-MM\front-end\src\config\interface.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 101
"d:\vscode_project\Performace-MM\front-end\src\icons\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
